plant,date,work_center,,machine,order,grade,emp,shift,qty,scrap,setup_plan,machine_plan,machine_actual,labor_plan
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199253,KCP25,21161,1,510,10,0.50,0.99,0.72,0.72
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199254,KCP10,21161,2,340,20,0.42,0.68,0.92,0.92
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199255,KU30T,21227,3,700,17,0.50,2.08,0.05,0.05
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199256,KC730,21161,2,370,18,0.50,1.13,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115187511,KCU25,21227,3,680,16,0.50,1.60,4.45,4.45
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115187512,KC5010,21227,3,350,15,0.50,0.84,0.02,0.02
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195971,KC5010,21161,2,"1,340",34,0.50,3.16,4.50,4.50
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115195972,KCU25,21161,1,675,15,0.50,1.59,1.13,1.13
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115179221,KCU10,21044,2,280,16,0.50,0.68,1.33,0.98
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115179224,WP25CT,21044,2,370,10,0.50,0.76,1.53,1.40
